"501st Legion, 1st Regiment, 3rd Battalion",,,,,,,,,,,
Unified Qualification Roster,,,,,,,,,,,
Nickname,Birth Number,Assault,RAMR,Support,Advanced Support,Grenadier,Marksman,Jumpmaster,Combat Engineer,RTO Basic,RTO Qualified
Locust,11775,PASS,,,,,,,,,PASS
Lofi,84775,,,,,,,,,,
Logorf,94173,PASS,,PASS,,,PASS,PASS,,PASS,
Loken,51798,PASS,PASS,,,PASS,PASS,,,PASS,PASS
Loki,84775,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
London,,,PASS,,,PASS,PASS,,,PASS,PASS
Love,51898,PASS,,PASS,,PASS,PASS,,,PASS,
Lucius,64873,,,,,PASS,PASS,,,,
Lumberjack,64628,PASS,,,,,,,,,
Lupus,5581,PASS,,,,,PASS,,,,
Luscious,64873,,,,,,,,,,
Lutas,45896,PASS,,PASS,,PASS,PASS,,,,
Luuce,22003,PASS,,PASS,,PASS,PASS,,,,
Mada,97766,PASS,,PASS,PASS,,PASS,,,,
Madman,11967,,,,,,PASS,,,,
Maelstrom,94063,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Magnus,12536,,,PASS,,PASS,,,,,
Mags,2022,,,,,,,,,,
Mako,16967,PASS,,PASS,,PASS,PASS,,,,
Malleus,66161,,,PASS,,,,,,,
Mark,29941,,,,,PASS,PASS,,,PASS,PASS
Maroon,61780,,,,,,,,,,
Matt,37951,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Matthew,16832,,,,,,,,,,
Maurice,40901,PASS,,PASS,,,PASS,,,PASS,PASS
Maverick,20834,PASS,,PASS,,PASS,PASS,,,PASS,
Maxon,55117,,,,,,,PASS,,,
Mazy,20920,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Mercy,17379,PASS,,,,,PASS,,,PASS,
Merit,39017,PASS,,PASS,,PASS,PASS,,,,
Merk,,PASS,,PASS,,PASS,PASS,,,PASS,
Merlin,43641,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Metro,20330,PASS,,,,,,,,,
Mia,71290,PASS,,PASS,,,PASS,,,PASS,
Middle,42717,PASS,,PASS,,PASS,,,,,
Mikado,63020,PASS,,PASS,,PASS,,,,,
Mike,39393,,,PASS,,PASS,PASS,,,PASS,PASS
Miles,37329,PASS,,PASS,,,PASS,,,PASS,PASS
Milkman,18175,,,PASS,,,,,,,
Miller,1625,,,PASS,,,,,,,
Mimic,9478,PASS,,PASS,,PASS,PASS,,,,
Mimir,88429,PASS,,PASS,,PASS,,,,PASS,PASS
Minashi,11272,PASS,,,,PASS,PASS,,,,
Mingus,60010,,,PASS,,,,,,,
Mirror,72273,PASS,,,,PASS,PASS,PASS,,PASS,PASS
Misha,,PASS,,PASS,,,,,,PASS,PASS
Mister,14129,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Moist,10358,PASS,PASS,,,PASS,PASS,,,PASS,PASS
Molo,5036,PASS,,PASS,,,,,,,
Momentum,47634,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Money,24795,PASS,,PASS,,,,,,PASS,PASS
Mongrel,66068,PASS,,PASS,,PASS,,,,PASS,
Monty,20117,PASS,,PASS,,,PASS,,,,
Moon,2569,PASS,PASS,PASS,,PASS,PASS,,,,
Morge,17790,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Morris,11395,,,PASS,,,,,,,
Morriss,11395,PASS,,,,,,,,,
Mosin,18965,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Muffins,15212,PASS,,PASS,,,,,,,
Mulkot,17304,,,PASS,,,,,,PASS,
Mungus,5550,PASS,,PASS,,,PASS,,,,
Muranyi,90998,PASS,,,,,,,,PASS,
Murdock,36422,PASS,,PASS,,,,,,,
Mustang,86146,PASS,,PASS,,PASS,PASS,,PASS,PASS,
Mutt,11776,PASS,,,,,,,,,
Muzzer,45632,PASS,,PASS,PASS,PASS,PASS,,,PASS,PASS
Myrola,20866,PASS,,PASS,,PASS,PASS,,,,
Mystic,,PASS,,PASS,,,PASS,,,PASS,PASS
Nahrkin,78796,PASS,,PASS,,,,,,PASS,
Napkin,27772,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,
Narrator,93277,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Navo,9009,,,,,PASS,,,,PASS,
Neb,45074,PASS,PASS,,,PASS,PASS,,,PASS,PASS
Needles,21225,PASS,PASS,PASS,,PASS,PASS,,,,
Negeta,42361,,,PASS,,,,,,PASS,
Nekro,9191,PASS,,,,,,,,,
Nelson,93060,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Neta,22552,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Nevermore,11671,,,,,PASS,,,,,
Nidus,72892,PASS,,PASS,,,PASS,,,PASS,
